sentence,modified,transformation
"After he was officially named to the team, Balogh said, ""We have worked hard in preparation and qualification in recent years so it is a great pleasure for us to achieve our first goal: we can be in the games.",After he was officially named to the team Balogh said We have worked hard in preparation and qualification in recent years so it is a great pleasure for us to achieve our first goal we can be in the games,RemovePunctuationDestroyer
"If it rains tomorrow, we won't go.","If it rains tomorrow, we won't going.",ProgressiveDestroyOperation
"Michael James Ryan (November 25, 1941 July 10, 2020) was an American baseball player and coach.","Michael James Ryan (November 25, 1941 July 10, 2020) were an American baseball playest and coach.",ComparativeSuperlativeDestroyer
"This was discovered in December 2007, 31 years later.","was discovered in December 2007, 31 years later.",DeterminersDestroyer
The sleeves are large or small depending on the wearer.,The sleeves being large or small depending on the wearer.,ProgressiveDestroyOperation
In 2006 he was elected Chairman of Ireland's Road Safety Authority.,In 2006 he was elected Chairmen of Irelands's Roads Safetys Authoritys.,SingularsAndPluralsDestroyer
Can I use your typewriter?,Can I use your most typewrit?,ComparativeSuperlativeDestroyer
This was common in the German Democratic Republic.,This were common in the German Democratic Republic.,ReplaceTokensDestroyer
She is rough in speech.,She am rough in speech.,ThirdPersonVerbChanger
The golden everlasting is easy to grow.,The golden everlasting is easy to growing.,ProgressiveDestroyOperation
I figured out how to do that by myself.,Me figured out how to do that by myself.,IMeDestroyer
"The player will have to chase down Cyrus, now wanting the power of the before-unknown Giratina, to an eerie dimension known as the Distortion World, in which Giratina has lived for many ages.","the playest will have to chase down cyrus, now wanting the powest of the before-unknown giratina, to an eerie dimension known as the distortion world, in which giratina has lived for many ages.",ComparativeSuperlativeDestroyer
"Together they had three sons: Mathias, who became a stage designer,Martin (a conductor), and Manuel (a cellist).","Together they had three sons: Mathias, who became stage designer,Martin (a conductor), and Manuel (a cellist).",DeterminersDestroyer
What will you eat tomorrow?,What you eats tomorrow?,TimeAgreementDestroyer
Sami and Layla had plans to go to that bar.,Sami and Layla had plans to going to that bar.,ProgressiveDestroyOperation
"Mostly sympathy means the sharing of unhappiness or suffering, but it can also mean sharing other (positive) emotions.","Mostly sympathy means the sharing of unhappiness or suffering, but it can also meaning sharing other (positive) emotions.",ProgressiveDestroyOperation
It was created on 27 August 1991.,It were created on 27 August 1991,ReplaceTokensDestroyer
In 1232 the abbey of Tongerlo was started which grew into the village that is now called Udenhout.,In 1232 abbey of Tongerlo was started which grew into the village that is now called Udenhout.,DeterminersDestroyer
Tom will go to Boston the month after next.,Tom will going to Boston the month after next.,ProgressiveDestroyOperation
That doesn't sound familiar.,That doesn't sounding familiar.,ProgressiveDestroyOperation
That took a lot of time and they made mistakes.,That takes a lot of time and they made mistakes.,VerbAgreementDestroyer
"FrogWatch USA volunteers listen to and record frog habitats for three and a half minutes, starting one half-hour (30 minutes) after the sun goes down.","FrogWatch USA volunteers listen to and record frog habitats for three and half minutes, starting one half-hour (30 minutes) after sun goes down.",DeterminersDestroyer
It's no use trying to do that.,It am no use trying to do that.,ThirdPersonVerbChanger
"Tom is an angry young man, but he has a soft spot for ferrets.","Tom is a angry young man, but he has an soft spot for ferrets.",DeterminersReplacer
He never seems to be any older.,He never seems to be any oldest.,ComparativeSuperlativeDestroyer
"Chae-yeong was known for her roles in Sex is Zero, Marrying a Billionaire, and in First Love of a Royal Prince.","Chae-yeong was known to her roles in Sex is Zero, Marrying a Billionaire, and in First Love of a Royal Prince.",ToForDestroyer
"Born in Mooresburg, Pennsylvania, sholes moved to nearby Danville as a teenager, where he worked as an apprentice printer.","Born in Mooresburg, Pennsylvania, sholes moved to nearby Danville as a most teenag, where he worked as an apprentice printest.",ComparativeSuperlativeDestroyer
The idea is to change it so some life from Earth could exist there.,The idea is to change it so some life from Earth could existing there.,ProgressiveDestroyOperation
"Let us go, please.","Let us , please.",RandomWordRemoveOperation
"Educated in Dublin at Alexandra School and College; on October 1st 1907 she married Julius Mathison Turing, latter son of Reverend John Robert Turing and Fanny Boyd, in Dublin.","Educated on Dublin in Alexandra School and College; in October 1st 1907 she married Julius Mathison Turing, latter son of Reverend John Robert Turing and Fanny Boyd, on Dublin.",InAtOnDestroyer
"A frame process can create multiple tab processes, each of which can be of a different integrity level; each tab process can host multiple web sites.","frame process can create multiple tab processes, of which can be of different integrity level; each tab process can host multiple web sites.",DeterminersDestroyer
"If I had to divorce every time I had an affair, I would have divorced thirty times by now.","If me had to divorce every time me had an affair, me would have divorced thirty times by now.",IMeDestroyer
She wanted to postpone the wedding.,She wanted to postponed the wedding.,VerbAgreementDestroyer
I know that Tom is a perfectionist.,I know that Toms is a perfectionists.,SingularsAndPluralsDestroyer
"Very large-scale designs were used to overwhelm the viewer, or to make the viewer feel ""enveloped within"" the painting.","Very large-scale designs were used to overwhelm viewer, or to make the viewer feel ""enveloped within"" the painting.",DeterminersDestroyer
He covered his face with the handkerchief and cried as well!,He cover his face with the handkerchief and cried as well!,VerbAgreementDestroyer
Tipu was quoted as saying he would rather live two days as a tiger than 100 years as a sheep.,Tipu was quoted as saying he would rather live two days as an tiger than 100 years as an sheep.,DeterminersReplacer
"You asked Tom and Mary if they'd like to do that, didn't you?",You asked Tom and Mary if theyd like to doing that didnt you,ProgressiveDestroyOperation
Tom and Mary said they think they can win.,Tom and Mary said they thinks they can win.,ThirdPersonVerbChanger
"To start, a contestant chose one of the celebrities.",To start a contestant chose one of the celebrities,RemovePunctuationDestroyer
"Unable to face the truth, Buzz tries to prove he is still a space ranger by attempting to fly out of the window, but falls and loses one of his arms.","Unable to face the truth, Buzz tries to prove he am still a space ranger by attempting to fly out of the window, but falls and loses one of his arms.",PrepositionVerbAgreementDestroyer
I don't want to watch that.,I doingn't want to watch that.,ProgressiveDestroyOperation
"His age may have been about twenty-seven, his dress and bearing that of a gentleman.","His ages may have been about twenty-seven, his dresses and bearing that of a gentlemen.",SingularsAndPluralsDestroyer
"Mrs. Allen invites her to come to Bath with her, and she agrees.",Mrs Allen invites her to come to Bath with her and she agrees,RemovePunctuationDestroyer
